filename,width,height,class,xmin,ymin,xmax,ymax
0122.JPG,320,320,person,54.0,149.0,77.0,189.0
0065.JPG,320,320,person,85.0,172.0,108.0,215.0
0065.JPG,320,320,person,177.0,151.0,195.0,199.0
0168.JPG,320,320,person,181.0,199.0,221.0,307.0
0168.JPG,320,320,person,262.0,182.0,296.0,275.0
0223.JPG,320,320,person,42.0,177.0,85.0,256.0
0223.JPG,320,320,person,13.0,174.0,45.0,264.0
0132.JPG,320,320,person,57.0,189.0,82.0,236.0
0199.JPG,320,320,person,86.0,223.0,134.0,320.0
0199.JPG,320,320,person,261.0,180.0,308.0,263.0
0228.JPG,320,320,person,81.0,133.0,142.0,237.0
0221.JPG,320,320,person,222.0,97.0,244.0,139.0
0221.JPG,320,320,person,123.0,263.0,144.0,320.0
0109.JPG,320,320,person,180.0,161.0,207.0,217.0
0109.JPG,320,320,person,132.0,250.0,155.0,301.0
0211.JPG,320,320,person,188.0,191.0,210.0,235.0
0211.JPG,320,320,person,42.0,164.0,69.0,208.0
0186.JPG,320,320,person,212.0,134.0,252.0,221.0
0186.JPG,320,320,person,162.0,170.0,202.0,278.0
0077.JPG,320,320,person,116.0,160.0,139.0,209.0
0077.JPG,320,320,person,132.0,129.0,152.0,171.0
0148.JPG,320,320,person,80.0,155.0,100.0,193.0
0224.JPG,320,320,person,110.0,150.0,141.0,241.0
0224.JPG,320,320,person,135.0,132.0,172.0,226.0
0151.JPG,320,320,person,86.0,124.0,108.0,167.0
0056.JPG,320,320,person,182.0,153.0,199.0,191.0
0056.JPG,320,320,person,137.0,224.0,164.0,275.0
0137.JPG,320,320,,,,,
0191.JPG,320,320,person,175.0,148.0,216.0,252.0
0170.JPG,320,320,person,222.0,169.0,250.0,279.0
0182.JPG,320,320,person,234.0,189.0,274.0,293.0
0079.JPG,320,320,person,77.0,97.0,97.0,141.0
0079.JPG,320,320,person,123.0,165.0,152.0,213.0
0181.JPG,320,320,person,136.0,146.0,180.0,243.0
0161.JPG,320,320,person,149.0,200.0,174.0,245.0
0161.JPG,320,320,person,144.0,238.0,166.0,289.0
0155.JPG,320,320,,,,,
0179.JPG,320,320,person,150.0,117.0,185.0,217.0
0179.JPG,320,320,person,173.0,137.0,204.0,237.0
0142.JPG,320,320,,,,,
0226.JPG,320,320,person,124.0,168.0,173.0,313.0
0187.JPG,320,320,person,211.0,135.0,250.0,240.0
0053.JPG,320,320,person,107.0,144.0,131.0,190.0
0053.JPG,320,320,person,95.0,224.0,121.0,271.0
0090.JPG,320,320,person,71.0,113.0,96.0,161.0
0090.JPG,320,320,person,65.0,206.0,90.0,252.0
0118.JPG,320,320,person,27.0,257.0,60.0,304.0
0082.JPG,320,320,person,128.0,127.0,150.0,172.0
0082.JPG,320,320,person,136.0,227.0,159.0,273.0
0157.JPG,320,320,,,,,
0171.JPG,320,320,person,133.0,107.0,157.0,201.0
0171.JPG,320,320,person,151.0,108.0,178.0,208.0
0084.JPG,320,320,person,55.0,186.0,85.0,235.0
0084.JPG,320,320,person,158.0,149.0,176.0,190.0
0149.JPG,320,320,person,103.0,193.0,128.0,241.0
0149.JPG,320,320,person,176.0,167.0,193.0,216.0
0105.JPG,320,320,person,124.0,292.0,157.0,320.0
0105.JPG,320,320,person,146.0,141.0,169.0,189.0
0114.JPG,320,320,,,,,
0113.JPG,320,320,person,120.0,167.0,136.0,205.0
0103.JPG,320,320,person,70.0,189.0,102.0,245.0
0178.JPG,320,320,person,170.0,133.0,195.0,221.0
0178.JPG,320,320,person,149.0,120.0,178.0,208.0
0108.JPG,320,320,person,105.0,236.0,127.0,285.0
0108.JPG,320,320,person,232.0,227.0,254.0,284.0
0203.JPG,320,320,person,151.0,168.0,192.0,259.0
0203.JPG,320,320,person,215.0,137.0,263.0,223.0
0076.JPG,320,320,person,168.0,189.0,190.0,234.0
0076.JPG,320,320,person,39.0,246.0,70.0,298.0
0195.JPG,320,320,person,160.0,145.0,205.0,249.0
0060.JPG,320,320,person,92.0,196.0,115.0,241.0
0146.JPG,320,320,person,31.0,190.0,59.0,237.0
0146.JPG,320,320,person,65.0,174.0,85.0,217.0
0222.JPG,320,320,,,,,
0097.JPG,320,320,person,198.0,215.0,225.0,260.0
0110.JPG,320,320,person,181.0,261.0,202.0,307.0
0160.JPG,320,320,person,140.0,151.0,160.0,204.0
0160.JPG,320,320,person,100.0,216.0,129.0,266.0
0124.JPG,320,320,person,41.0,199.0,69.0,241.0
0124.JPG,320,320,person,42.0,292.0,65.0,320.0
0063.JPG,320,320,person,116.0,157.0,135.0,200.0
0063.JPG,320,320,person,16.0,158.0,41.0,199.0
0129.JPG,320,320,person,3.0,291.0,40.0,320.0
0081.JPG,320,320,person,152.0,159.0,175.0,206.0
0064.JPG,320,320,person,47.0,149.0,69.0,191.0
0064.JPG,320,320,person,104.0,216.0,123.0,256.0
0050.JPG,320,320,person,110.0,157.0,136.0,210.0
0050.JPG,320,320,person,80.0,185.0,106.0,233.0
0158.JPG,320,320,,,,,
0162.JPG,320,320,person,151.0,178.0,177.0,225.0
0162.JPG,320,320,person,79.0,188.0,100.0,236.0
0144.JPG,320,320,person,74.0,148.0,95.0,188.0
0227.JPG,320,320,person,92.0,136.0,152.0,232.0
0150.JPG,320,320,person,21.0,285.0,50.0,320.0
0192.JPG,320,320,person,158.0,167.0,205.0,266.0
0192.JPG,320,320,person,219.0,134.0,264.0,236.0
0106.JPG,320,320,person,208.0,210.0,233.0,265.0
0127.JPG,320,320,person,58.0,185.0,89.0,230.0
0116.JPG,320,320,,,,,
0215.JPG,320,320,person,55.0,111.0,74.0,150.0
0215.JPG,320,320,person,177.0,103.0,204.0,143.0
0174.JPG,320,320,person,176.0,199.0,209.0,282.0
0174.JPG,320,320,person,255.0,149.0,292.0,246.0
