filename,width,height,class,xmin,ymin,xmax,ymax
000.jpg,6000,4000,person,2801.0,2859.0,3283.0,3255.0
001.jpg,6000,4000,person,2462.0,3411.0,2794.0,3800.0
002.jpg,6000,4000,person,1896.0,3857.0,2214.0,4000.0
003.jpg,6000,4000,person,1867.0,1508.0,2547.0,2145.0
004.jpg,6000,4000,person,1995.0,291.0,2207.0,588.0
005.jpg,6000,4000,person,2547.0,1331.0,2787.0,1550.0
006.jpg,6000,4000,person,113.0,574.0,1443.0,1373.0
008.jpg,6000,4000,,,,,
011.jpg,6000,4000,,,,,
013.jpg,6000,4000,,,,,
014.jpg,6000,4000,person,3283.0,3588.0,3636.0,3999.0
015.jpg,6000,4000,person,403.0,3439.0,834.0,3977.0
016.jpg,6000,4000,,,,,
018.jpg,6000,4000,person,3672.0,3326.0,3976.0,3836.0
019.jpg,6000,4000,person,1669.0,0.0,2433.0,637.0
021.jpg,6000,4000,person,3976.0,0.0,4726.0,482.0
022.jpg,6000,4000,person,120.0,1133.0,488.0,1380.0
023.jpg,6000,4000,,,,,
026.jpg,6000,4000,person,2066.0,2456.0,2462.0,2817.0
028.jpg,6000,4000,person,4160.0,50.0,5724.0,1465.0
031.jpg,6000,4000,person,5398.0,2590.0,6000.0,3270.0
035.jpg,6000,4000,person,3700.0,821.0,4358.0,1409.0
038.jpg,6000,4000,person,1988.0,3715.0,2426.0,4000.0
040.jpg,6000,4000,person,1422.0,1062.0,1676.0,1218.0
041.jpg,6000,4000,,,,,
042.jpg,6000,4000,person,0.0,1989.0,849.0,2633.0
043.jpg,6000,4000,person,1754.0,942.0,2023.0,1211.0
044.jpg,6000,4000,person,1740.0,2866.0,2009.0,3064.0
045.jpg,6000,4000,person,198.0,2137.0,990.0,2484.0
047.jpg,6000,4000,person,2349.0,0.0,2830.0,503.0
049.jpg,6000,4000,person,5313.0,1670.0,5709.0,1968.0
051.jpg,6000,4000,person,2483.0,2512.0,2858.0,2795.0
052.jpg,6000,4000,person,1691.0,319.0,2101.0,701.0
053.jpg,6000,4000,,,,,
055.jpg,6000,4000,person,2476.0,3418.0,2752.0,3751.0
056.jpg,6000,4000,,,,,
057.jpg,6000,4000,person,3226.0,3333.0,3997.0,4000.0
058.jpg,6000,4000,,,,,
059.jpg,6000,4000,person,2066.0,2944.0,2688.0,3270.0
060.jpg,6000,4000,person,3792.0,0.0,4273.0,496.0
