filename,width,height,class,xmin,ymin,xmax,ymax,source,tag,prev_filename,xcen,ycen,w_yolo,h_yolo
000.jpg,320,320,person,20.0,213.0,52.0,248.0,adh,1,000.jpg,0.1125,0.7203125,0.1,0.109375
000.jpg,320,320,person,0.0,40.0,30.0,87.0,adh,1,000.jpg,0.046875,0.1984375,0.09375,0.146875
000.jpg,320,320,person,139.0,0.0,158.0,50.0,adh,1,000.jpg,0.4640625,0.078125,0.059375,0.15625
000.jpg,320,320,person,118.0,257.0,147.0,295.0,adh,1,000.jpg,0.4140625,0.8625,0.090625,0.11875
000.jpg,320,320,person,149.0,229.0,175.0,260.0,adh,1,000.jpg,0.50625,0.7640625,0.08125,0.096875
001.jpg,320,320,person,172.0,28.0,184.0,50.0,adh,1,001.jpg,0.55625,0.121875,0.0375,0.06875
001.jpg,320,320,person,230.0,186.0,246.0,221.0,adh,1,001.jpg,0.74375,0.6359375,0.05,0.109375
001.jpg,320,320,person,143.0,202.0,159.0,228.0,adh,1,001.jpg,0.471875,0.671875,0.05,0.08125
001.jpg,320,320,person,51.0,182.0,80.0,219.0,adh,1,001.jpg,0.2046875,0.6265625,0.090625,0.115625
001.jpg,320,320,person,116.0,257.0,134.0,283.0,adh,1,001.jpg,0.390625,0.84375,0.05625,0.08125
001.jpg,320,320,person,131.0,273.0,149.0,304.0,adh,1,001.jpg,0.4375,0.9015625,0.05625,0.096875
002.jpg,320,320,person,107.0,202.0,124.0,230.0,adh,1,002.jpg,0.3609375,0.675,0.053125,0.0875
002.jpg,320,320,person,74.0,134.0,88.0,151.0,adh,1,002.jpg,0.253125,0.4453125,0.04375,0.053125
002.jpg,320,320,person,75.0,116.0,91.0,131.0,adh,1,002.jpg,0.259375,0.3859375,0.05,0.046875
002.jpg,320,320,person,126.0,80.0,137.0,104.0,adh,1,002.jpg,0.4109375,0.2875,0.034375,0.075
002.jpg,320,320,person,148.0,11.0,161.0,41.0,adh,1,002.jpg,0.4828125,0.08125,0.040625,0.09375
002.jpg,320,320,person,184.0,149.0,193.0,177.0,adh,1,002.jpg,0.5890625,0.509375,0.028125,0.0875
