filename,width,height,class,xmin,ymin,xmax,ymax
0091.JPG,320,320,person,93.0,142.0,136.0,201.0
0091.JPG,320,320,person,46.0,111.0,82.0,166.0
0091.JPG,320,320,person,270.0,80.0,311.0,134.0
0091.JPG,320,320,person,29.0,192.0,85.0,239.0
0091.JPG,320,320,person,17.0,216.0,80.0,265.0
0091.JPG,320,320,person,269.0,129.0,320.0,182.0
0091.JPG,320,320,person,282.0,183.0,320.0,223.0
0057.JPG,320,320,person,52.0,27.0,77.0,62.0
0057.JPG,320,320,person,85.0,45.0,108.0,111.0
0057.JPG,320,320,person,227.0,121.0,245.0,183.0
0057.JPG,320,320,person,121.0,158.0,144.0,195.0
0203.JPG,320,320,person,40.0,133.0,72.0,155.0
0203.JPG,320,320,person,85.0,132.0,114.0,149.0
0203.JPG,320,320,person,144.0,91.0,163.0,106.0
0203.JPG,320,320,person,210.0,78.0,227.0,96.0
0203.JPG,320,320,person,182.0,64.0,200.0,90.0
0203.JPG,320,320,person,144.0,112.0,170.0,132.0
0066.JPG,320,320,person,60.0,184.0,124.0,231.0
0066.JPG,320,320,person,67.0,229.0,110.0,257.0
0062.JPG,320,320,person,14.0,155.0,66.0,208.0
0062.JPG,320,320,person,1.0,110.0,49.0,153.0
0139.JPG,320,320,person,199.0,107.0,231.0,157.0
0139.JPG,320,320,person,221.0,147.0,253.0,209.0
0139.JPG,320,320,person,66.0,141.0,123.0,204.0
0139.JPG,320,320,person,31.0,179.0,93.0,219.0
0165.JPG,320,320,person,138.0,99.0,167.0,154.0
0165.JPG,320,320,person,162.0,82.0,186.0,139.0
0165.JPG,320,320,person,267.0,113.0,292.0,168.0
0165.JPG,320,320,person,266.0,90.0,299.0,141.0
0060.JPG,320,320,person,220.0,105.0,255.0,179.0
0079.JPG,320,320,person,195.0,90.0,220.0,147.0
0079.JPG,320,320,person,196.0,148.0,222.0,170.0
0079.JPG,320,320,person,190.0,171.0,214.0,228.0
0232.JPG,320,320,person,166.0,37.0,185.0,78.0
0232.JPG,320,320,person,182.0,37.0,200.0,68.0
0232.JPG,320,320,person,129.0,149.0,152.0,179.0
0232.JPG,320,320,person,199.0,146.0,218.0,167.0
0109.JPG,320,320,person,190.0,100.0,229.0,179.0
0109.JPG,320,320,person,37.0,117.0,85.0,169.0
0109.JPG,320,320,person,36.0,156.0,88.0,205.0
0109.JPG,320,320,person,84.0,239.0,144.0,285.0
0109.JPG,320,320,person,94.0,64.0,119.0,113.0
0109.JPG,320,320,person,85.0,110.0,130.0,166.0
0090.JPG,320,320,person,159.0,235.0,198.0,301.0
0090.JPG,320,320,person,201.0,37.0,230.0,103.0
0239.JPG,320,320,person,95.0,208.0,117.0,218.0
0239.JPG,320,320,person,73.0,188.0,105.0,200.0
0239.JPG,320,320,person,120.0,138.0,149.0,150.0
0239.JPG,320,320,person,85.0,132.0,107.0,149.0
0052.JPG,320,320,person,73.0,180.0,113.0,249.0
0052.JPG,320,320,person,54.0,183.0,73.0,225.0
0052.JPG,320,320,person,62.0,201.0,89.0,261.0
0137.JPG,320,320,person,280.0,49.0,320.0,126.0
0137.JPG,320,320,person,233.0,1.0,271.0,70.0
0115.JPG,320,320,person,48.0,120.0,91.0,191.0
0115.JPG,320,320,person,240.0,82.0,284.0,133.0
0115.JPG,320,320,person,259.0,161.0,294.0,224.0
0115.JPG,320,320,person,244.0,128.0,279.0,171.0
0121.JPG,320,320,person,249.0,116.0,312.0,197.0
0081.JPG,320,320,person,69.0,23.0,105.0,89.0
0198.JPG,320,320,person,109.0,82.0,131.0,108.0
0198.JPG,320,320,person,93.0,88.0,120.0,116.0
0198.JPG,320,320,person,85.0,206.0,124.0,223.0
0198.JPG,320,320,person,136.0,267.0,171.0,302.0
0198.JPG,320,320,person,70.0,258.0,104.0,295.0
0077.JPG,320,320,person,83.0,213.0,136.0,262.0
0215.JPG,320,320,person,158.0,135.0,177.0,150.0
0215.JPG,320,320,person,110.0,91.0,127.0,108.0
0215.JPG,320,320,person,156.0,158.0,180.0,186.0
0106.JPG,320,320,person,217.0,72.0,250.0,153.0
0106.JPG,320,320,person,119.0,25.0,155.0,85.0
0106.JPG,320,320,person,7.0,91.0,47.0,138.0
0106.JPG,320,320,person,13.0,125.0,54.0,187.0
0106.JPG,320,320,person,83.0,214.0,131.0,272.0
0193.JPG,320,320,person,169.0,98.0,182.0,122.0
0193.JPG,320,320,person,189.0,102.0,204.0,119.0
0193.JPG,320,320,person,207.0,191.0,231.0,215.0
0193.JPG,320,320,person,65.0,187.0,88.0,205.0
0193.JPG,320,320,person,58.0,89.0,89.0,103.0
0193.JPG,320,320,person,236.0,74.0,250.0,101.0
0182.JPG,320,320,person,164.0,57.0,197.0,128.0
0182.JPG,320,320,person,240.0,81.0,273.0,140.0
0096.JPG,320,320,person,12.0,103.0,62.0,171.0
0096.JPG,320,320,person,1.0,150.0,58.0,214.0
0096.JPG,320,320,person,157.0,1.0,211.0,73.0
0131.JPG,320,320,person,48.0,65.0,88.0,127.0
0131.JPG,320,320,person,44.0,39.0,73.0,72.0
0130.JPG,320,320,person,224.0,62.0,266.0,112.0
0130.JPG,320,320,person,221.0,118.0,273.0,166.0
0130.JPG,320,320,person,270.0,211.0,319.0,252.0
0050.JPG,320,320,person,112.0,115.0,139.0,175.0
0050.JPG,320,320,person,244.0,2.0,254.0,35.0
0050.JPG,320,320,person,255.0,2.0,266.0,32.0
0228.JPG,320,320,person,137.0,173.0,154.0,190.0
0228.JPG,320,320,person,182.0,67.0,199.0,85.0
0228.JPG,320,320,person,208.0,119.0,226.0,139.0
0228.JPG,320,320,person,105.0,233.0,127.0,257.0
0213.JPG,320,320,person,141.0,110.0,177.0,132.0
0213.JPG,320,320,person,118.0,204.0,146.0,233.0
0129.JPG,320,320,person,100.0,39.0,128.0,75.0
0129.JPG,320,320,person,101.0,66.0,137.0,125.0
0129.JPG,320,320,person,185.0,134.0,226.0,199.0
0056.JPG,320,320,person,234.0,188.0,251.0,241.0
0056.JPG,320,320,person,216.0,149.0,234.0,210.0
0056.JPG,320,320,person,130.0,178.0,156.0,216.0
0056.JPG,320,320,person,110.0,44.0,128.0,88.0
0056.JPG,320,320,person,252.0,107.0,266.0,156.0
0278.JPG,320,320,person,143.0,174.0,155.0,196.0
0278.JPG,320,320,person,161.0,174.0,174.0,195.0
0278.JPG,320,320,person,62.0,248.0,88.0,281.0
0278.JPG,320,320,person,48.0,246.0,69.0,272.0
0049.JPG,320,320,person,119.0,104.0,146.0,186.0
0049.JPG,320,320,person,204.0,99.0,227.0,160.0
0049.JPG,320,320,person,204.0,145.0,238.0,195.0
0049.JPG,320,320,person,273.0,124.0,291.0,199.0
0221.JPG,320,320,person,121.0,188.0,135.0,208.0
0221.JPG,320,320,person,143.0,191.0,163.0,211.0
0235.JPG,320,320,person,96.0,156.0,115.0,181.0
0235.JPG,320,320,person,153.0,202.0,172.0,225.0
0235.JPG,320,320,person,203.0,107.0,224.0,128.0
0248.JPG,320,320,person,179.0,83.0,205.0,110.0
0248.JPG,320,320,person,210.0,28.0,227.0,62.0
0256.JPG,320,320,person,94.0,221.0,122.0,232.0
0256.JPG,320,320,person,96.0,234.0,131.0,252.0
0225.JPG,320,320,person,139.0,116.0,159.0,134.0
0225.JPG,320,320,person,113.0,105.0,128.0,119.0
0225.JPG,320,320,person,109.0,120.0,125.0,139.0
0059.JPG,320,320,person,199.0,193.0,254.0,248.0
0172.JPG,320,320,person,279.0,96.0,320.0,163.0
0172.JPG,320,320,person,200.0,66.0,231.0,141.0
0172.JPG,320,320,person,120.0,63.0,153.0,118.0
0168.JPG,320,320,person,105.0,15.0,133.0,80.0
0168.JPG,320,320,person,136.0,6.0,158.0,63.0
0168.JPG,320,320,person,136.0,42.0,160.0,98.0
0161.JPG,320,320,person,7.0,135.0,63.0,187.0
0161.JPG,320,320,person,89.0,174.0,119.0,199.0
0161.JPG,320,320,person,129.0,174.0,167.0,229.0
0161.JPG,320,320,person,268.0,58.0,317.0,126.0
0171.JPG,320,320,person,169.0,37.0,196.0,107.0
0208.JPG,320,320,person,114.0,174.0,132.0,192.0
0208.JPG,320,320,person,136.0,170.0,150.0,191.0
0177.JPG,320,320,person,130.0,122.0,167.0,186.0
0177.JPG,320,320,person,176.0,72.0,205.0,137.0
0177.JPG,320,320,person,193.0,47.0,212.0,100.0
0141.JPG,320,320,person,75.0,151.0,136.0,216.0
0141.JPG,320,320,person,177.0,5.0,201.0,74.0
0141.JPG,320,320,person,206.0,3.0,235.0,71.0
0141.JPG,320,320,person,267.0,48.0,296.0,135.0
0271.JPG,320,320,person,171.0,157.0,200.0,184.0
0271.JPG,320,320,person,183.0,188.0,204.0,217.0
0271.JPG,320,320,person,1.0,173.0,58.0,208.0
0075.JPG,320,320,person,57.0,75.0,103.0,144.0
0075.JPG,320,320,person,122.0,150.0,146.0,191.0
