filename,width,height,class,xmin,ymin,xmax,ymax
162.JPG,5184,3456,person,136,1770,551,1975
162.JPG,5184,3456,person,721,1910,1427,2305
162.JPG,5184,3456,person,461,1960,741,2255
176.JPG,5184,3456,person,1832,1,2177,470
176.JPG,5184,3456,person,2277,1,2457,245
176.JPG,5184,3456,person,4647,2490,5184,2775
176.JPG,5184,3456,person,4927,2210,5184,2550
189.JPG,5184,3456,person,2102,70,2297,575
189.JPG,5184,3456,person,3157,1745,3447,2205
189.JPG,5184,3456,person,1242,2465,1717,2885
189.JPG,5184,3456,person,951,2660,1487,3130
189.JPG,5184,3456,person,4447,295,4822,855
189.JPG,5184,3456,person,1,1200,396,1655
IMG_8676.JPG,3024,4032,person,2057,846,2210,1075
IMG_8676.JPG,3024,4032,person,2007,952,2186,1208
IMG_8662.JPG,3024,4032,person,413,1781,651,2005
IMG_8662.JPG,3024,4032,person,1085,588,1213,922
IMG_8689.JPG,3024,4032,person,974,1573,1233,1955
IMG_8689.JPG,3024,4032,person,1177,1570,1436,1981
IMG_8688.JPG,3024,4032,person,2316,725,2718,1258
IMG_8688.JPG,3024,4032,person,2583,414,2913,837
IMG_8663.JPG,3024,4032,person,1204,1087,1430,1352
IMG_8663.JPG,3024,4032,person,1045,264,1195,631
IMG_8677.JPG,3024,4032,person,1547,923,1686,1186
IMG_8677.JPG,3024,4032,person,1543,792,1760,1018
188.JPG,5184,3456,person,1677,1615,2047,2150
188.JPG,5184,3456,person,2062,135,2267,640
188.JPG,5184,3456,person,4412,355,4762,895
177.JPG,5184,3456,person,1777,210,2152,835
177.JPG,5184,3456,person,2252,460,2582,1030
177.JPG,5184,3456,person,2247,135,2502,745
163.JPG,5184,3456,person,1217,555,1717,1265
175.JPG,5184,3456,person,3297,1495,3642,1920
175.JPG,5184,3456,person,3582,1275,3942,1810
175.JPG,5184,3456,person,4852,1065,5184,1430
175.JPG,5184,3456,person,4832,780,5184,1225
175.JPG,5184,3456,person,1377,1,1707,360
175.JPG,5184,3456,person,1667,1,1947,245
161.JPG,5184,3456,person,236,1525,971,1960
161.JPG,5184,3456,person,1472,1910,1872,2245
161.JPG,5184,3456,person,1947,2095,2297,2385
161.JPG,5184,3456,person,2202,1925,2772,2365
161.JPG,5184,3456,person,4427,770,5132,1350
149.JPG,5184,3456,person,716,1120,1432,1645
149.JPG,5184,3456,person,3227,2460,3787,2915
149.JPG,5184,3456,person,4107,1830,4857,2250
149.JPG,5184,3456,person,4187,610,4917,1110
149.JPG,5184,3456,person,4192,810,4837,1320
149.JPG,5184,3456,person,4247,1055,4927,1560
149.JPG,5184,3456,person,4327,1275,5072,1760
149.JPG,5184,3456,person,86,2060,771,2390
149.JPG,5184,3456,person,1,2145,511,2495
IMG_8661.JPG,3024,4032,person,701,549,883,787
IMG_8661.JPG,3024,4032,person,1980,1455,2121,1634
IMG_8661.JPG,3024,4032,person,1574,2166,1715,2304
IMG_8661.JPG,3024,4032,person,1447,2149,1565,2246
IMG_8661.JPG,3024,4032,person,1318,2153,1431,2278
IMG_8675.JPG,3024,4032,person,2348,1004,2632,1255
IMG_8675.JPG,3024,4032,person,2414,894,2658,1115
IMG_8649.JPG,3024,4032,person,1781,1442,1884,1575
IMG_8649.JPG,3024,4032,person,1916,1437,2023,1590
IMG_8649.JPG,3024,4032,person,1790,1801,1883,1908
IMG_8648.JPG,3024,4032,person,539,1486,685,1599
IMG_8648.JPG,3024,4032,person,1422,1383,1496,1506
IMG_8648.JPG,3024,4032,person,1309,1461,1418,1594
IMG_8648.JPG,3024,4032,person,1734,1881,1855,1978
IMG_8648.JPG,3024,4032,person,1754,1966,1869,2057
IMG_8674.JPG,3024,4032,person,678,1268,844,1527
IMG_8674.JPG,3024,4032,person,781,1221,946,1465
IMG_8674.JPG,3024,4032,person,2619,779,2808,1123
IMG_8674.JPG,3024,4032,person,142,1,263,146
IMG_8660.JPG,3024,4032,person,713,607,875,836
IMG_8660.JPG,3024,4032,person,1969,1480,2116,1627
IMG_8660.JPG,3024,4032,person,1322,2063,1429,2213
IMG_8660.JPG,3024,4032,person,1453,2063,1566,2196
IMG_8660.JPG,3024,4032,person,1588,2077,1724,2212
148.JPG,5184,3456,person,2317,1925,2832,2365
148.JPG,5184,3456,person,321,905,796,1490
148.JPG,5184,3456,person,471,945,1021,1510
148.JPG,5184,3456,person,4187,1945,4862,2490
148.JPG,5184,3456,person,3972,1745,4662,2240
148.JPG,5184,3456,person,3322,1355,3707,1880
148.JPG,5184,3456,person,3352,740,3657,1125
148.JPG,5184,3456,person,3177,980,3437,1465
148.JPG,5184,3456,person,3257,1145,3582,1665
160.JPG,5184,3456,person,1757,1305,2092,1825
160.JPG,5184,3456,person,3627,560,4182,1145
160.JPG,5184,3456,person,3467,1660,3937,2155
160.JPG,5184,3456,person,2847,1740,3122,2155
160.JPG,5184,3456,person,3267,1950,3512,2225
160.JPG,5184,3456,person,3752,2395,4462,2865
160.JPG,5184,3456,person,4167,2830,4902,3230
160.JPG,5184,3456,person,81,755,461,1115
174.JPG,5184,3456,person,2427,1075,2667,1695
174.JPG,5184,3456,person,2652,1010,2927,1565
174.JPG,5184,3456,person,1187,1,1572,470
174.JPG,5184,3456,person,4307,1250,4722,1755
174.JPG,5184,3456,person,4302,1010,4752,1560
158.JPG,5184,3456,person,2672,585,2977,1205
158.JPG,5184,3456,person,3192,340,3562,1120
158.JPG,5184,3456,person,1167,1,1557,595
158.JPG,5184,3456,person,2147,1,2532,540
158.JPG,5184,3456,person,1972,935,2397,1520
158.JPG,5184,3456,person,4562,1665,5184,2180
158.JPG,5184,3456,person,4532,2030,5184,2530
170.JPG,5184,3456,person,3427,745,3797,1285
170.JPG,5184,3456,person,4767,1,5147,500
170.JPG,5184,3456,person,4612,1,4912,360
164.JPG,5184,3456,person,1177,580,1592,1285
164.JPG,5184,3456,person,3002,435,3487,1070
164.JPG,5184,3456,person,201,1240,936,1785
164.JPG,5184,3456,person,36,1555,746,2015
IMG_8658.JPG,3024,4032,person,729,781,884,997
IMG_8658.JPG,3024,4032,person,1320,1240,1443,1453
IMG_8658.JPG,3024,4032,person,1474,1234,1578,1441
IMG_8658.JPG,3024,4032,person,1592,1262,1714,1467
IMG_8658.JPG,3024,4032,person,1941,1185,2051,1384
IMG_8664.JPG,3024,4032,person,947,268,1090,626
IMG_8664.JPG,3024,4032,person,2282,763,2510,1085
IMG_8664.JPG,3024,4032,person,2319,897,2551,1155
IMG_8664.JPG,3024,4032,person,2415,1301,2638,1532
IMG_8664.JPG,3024,4032,person,2148,2445,2370,2661
IMG_8670.JPG,3024,4032,person,340,481,560,792
IMG_8670.JPG,3024,4032,person,877,228,1025,519
IMG_8670.JPG,3024,4032,person,910,714,1088,961
IMG_8670.JPG,3024,4032,person,917,834,1107,1085
IMG_8670.JPG,3024,4032,person,1123,1364,1337,1622
IMG_8670.JPG,3024,4032,person,1219,1519,1350,1720
IMG_8670.JPG,3024,4032,person,2664,1865,3024,2080
IMG_8670.JPG,3024,4032,person,2022,1174,2262,1405
IMG_8670.JPG,3024,4032,person,1944,1032,2170,1294
IMG_8670.JPG,3024,4032,person,2763,402,2998,746
IMG_8670.JPG,3024,4032,person,2845,499,3024,773
038.JPG,5184,3456,person,1292,1190,1712,2290
039.JPG,5184,3456,person,2577,1770,2862,2540
039.JPG,5184,3456,person,2207,1900,2387,2115
IMG_8671.JPG,3024,4032,person,262,237,494,593
IMG_8671.JPG,3024,4032,person,1009,1,1226,274
IMG_8671.JPG,3024,4032,person,1024,475,1189,748
IMG_8671.JPG,3024,4032,person,1010,622,1210,898
IMG_8671.JPG,3024,4032,person,840,1176,1071,1394
IMG_8671.JPG,3024,4032,person,881,1355,1053,1558
IMG_8671.JPG,3024,4032,person,1910,915,2096,1204
IMG_8671.JPG,3024,4032,person,1806,828,1986,1081
IMG_8671.JPG,3024,4032,person,180,1778,427,1973
IMG_8671.JPG,3024,4032,person,110,1602,386,1793
IMG_8665.JPG,3024,4032,person,923,53,1077,428
IMG_8665.JPG,3024,4032,person,963,2274,1189,2436
IMG_8665.JPG,3024,4032,person,1028,2454,1262,2548
IMG_8665.JPG,3024,4032,person,1597,511,1836,793
IMG_8665.JPG,3024,4032,person,1662,1216,1840,1467
IMG_8665.JPG,3024,4032,person,1589,1117,1789,1372
IMG_8665.JPG,3024,4032,person,2239,988,2441,1214
IMG_8665.JPG,3024,4032,person,2237,901,2436,1106
IMG_8665.JPG,3024,4032,person,2713,928,2898,1245
IMG_8659.JPG,3024,4032,person,716,622,878,845
IMG_8659.JPG,3024,4032,person,1979,1427,2090,1576
IMG_8659.JPG,3024,4032,person,1604,1890,1748,2070
IMG_8659.JPG,3024,4032,person,1477,1905,1577,2043
IMG_8659.JPG,3024,4032,person,1342,1890,1477,2034
165.JPG,5184,3456,person,1202,1010,1717,1590
165.JPG,5184,3456,person,4627,50,5184,715
171.JPG,5184,3456,person,2532,590,2872,1150
171.JPG,5184,3456,person,4897,1,5172,385
171.JPG,5184,3456,person,4622,1,4842,290
159.JPG,5184,3456,person,856,830,1482,1390
159.JPG,5184,3456,person,2812,820,3142,1425
159.JPG,5184,3456,person,3037,475,3362,1055
