               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11894,            0.016267,                   0,           0.0033449,            0.016667,          0.00089572,          0.00013126,            0.096367,            0.011801,                   0,               8e-05,               8e-05,             0.09928
                   1,             0.11687,            0.017423,                   0,           0.0015861,             0.11667,          0.00088565,          0.00017773,             0.09219,            0.012577,                   0,          0.00016998,          0.00016998,             0.09847
                   2,             0.11553,             0.01728,                   0,           0.0023265,             0.26667,           0.0015457,          0.00032556,            0.088209,            0.013194,                   0,           0.0002599,           0.0002599,             0.09766
                   3,             0.11025,            0.018713,                   0,           0.0053545,            0.016667,           0.0013577,          0.00035632,            0.084772,            0.013556,                   0,          0.00034969,          0.00034969,             0.09685
                   4,             0.10702,            0.018796,                   0,           0.0020262,                0.35,           0.0013637,          0.00030463,            0.079986,             0.01422,                   0,          0.00043931,          0.00043931,            0.096039
                   5,              0.1015,            0.019822,                   0,           0.0027858,             0.11667,           0.0015004,          0.00041734,            0.077358,            0.014435,                   0,          0.00052869,          0.00052869,            0.095229
                   6,            0.097656,             0.02124,                   0,            0.017275,            0.016667,           0.0030691,          0.00066801,            0.073287,            0.014796,                   0,           0.0006178,           0.0006178,            0.094418
                   7,            0.093896,            0.022594,                   0,              0.1662,            0.016667,           0.0071705,           0.0015628,            0.068705,            0.015355,                   0,          0.00070657,          0.00070657,            0.093607
                   8,            0.089014,            0.022288,                   0,             0.12302,                0.05,            0.030781,           0.0069843,            0.065375,             0.01551,                   0,          0.00079496,          0.00079496,            0.092795
                   9,            0.085645,            0.023608,                   0,             0.16616,                 0.1,            0.083301,            0.025814,              0.0593,            0.016203,                   0,          0.00088291,          0.00088291,            0.091983
                  10,            0.079867,            0.023131,                   0,             0.13109,             0.46667,             0.13103,            0.031147,            0.056549,            0.015954,                   0,          0.00097036,          0.00097036,             0.09117
                  11,            0.075749,            0.024817,                   0,             0.24013,             0.43333,             0.22505,            0.036975,            0.053298,             0.01566,                   0,           0.0010573,           0.0010573,            0.090357
                  12,            0.069725,            0.022248,                   0,             0.45056,             0.46667,             0.36936,            0.075872,            0.052732,            0.014961,                   0,           0.0011436,           0.0011436,            0.089544
                  13,            0.069262,             0.02181,                   0,             0.59029,             0.48333,             0.48436,             0.12358,            0.048727,            0.014294,                   0,           0.0012293,           0.0012293,            0.088729
                  14,            0.067203,            0.021574,                   0,              0.7302,             0.63153,             0.66024,             0.19841,            0.046055,            0.013364,                   0,           0.0013143,           0.0013143,            0.087914
                  15,            0.063352,            0.020236,                   0,             0.69975,             0.58264,             0.57901,             0.17485,            0.047408,            0.012514,                   0,           0.0013985,           0.0013985,            0.087099
                  16,            0.061278,            0.019331,                   0,             0.67854,             0.63326,             0.67577,             0.21767,            0.044383,            0.012163,                   0,            0.001482,            0.001482,            0.086282
                  17,            0.062212,            0.017488,                   0,             0.79963,             0.59865,             0.71087,             0.22831,            0.042812,            0.011498,                   0,           0.0015646,           0.0015646,            0.085465
                  18,            0.061717,            0.016837,                   0,             0.54208,                0.75,             0.64413,             0.25963,            0.044502,            0.011283,                   0,           0.0016463,           0.0016463,            0.084646
                  19,             0.06647,            0.016419,                   0,              0.7569,             0.41667,             0.54758,             0.11881,            0.049756,            0.010846,                   0,           0.0017271,           0.0017271,            0.083827
                  20,            0.063793,            0.016311,                   0,             0.65515,             0.66667,             0.69749,             0.21415,            0.042806,            0.010372,                   0,           0.0018069,           0.0018069,            0.083007
                  21,            0.061416,            0.016309,                   0,             0.51905,             0.61667,             0.56931,             0.15362,             0.04626,            0.010065,                   0,           0.0018856,           0.0018856,            0.082186
                  22,            0.058706,            0.016228,                   0,             0.61967,             0.73319,             0.70309,             0.26099,             0.04314,            0.010083,                   0,           0.0019633,           0.0019633,            0.081363
                  23,            0.061577,            0.014904,                   0,             0.62471,             0.58262,             0.59314,             0.15524,            0.044424,           0.0096462,                   0,           0.0020399,           0.0020399,             0.08054
                  24,            0.057545,            0.014912,                   0,             0.73215,             0.73333,             0.74796,              0.2848,            0.042293,           0.0095884,                   0,           0.0021153,           0.0021153,            0.079715
                  25,            0.060919,            0.015135,                   0,             0.53814,             0.58333,              0.4853,             0.12096,            0.049808,           0.0093499,                   0,           0.0021895,           0.0021895,             0.07889
