               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11894,            0.016269,                   0,            0.003328,            0.016667,          0.00084231,          0.00013078,            0.096357,            0.011805,                   0,               8e-05,               8e-05,             0.09928
                   1,             0.11687,            0.017424,                   0,           0.0015843,             0.11667,          0.00088355,          0.00017751,            0.092194,            0.012578,                   0,          0.00016998,          0.00016998,             0.09847
                   2,             0.11553,            0.017285,                   0,           0.0024661,             0.28333,           0.0015966,          0.00033993,            0.088176,            0.013202,                   0,           0.0002599,           0.0002599,             0.09766
                   3,             0.11028,            0.018691,                   0,           0.0052887,            0.016667,           0.0012779,          0.00033501,            0.084785,            0.013552,                   0,          0.00034969,          0.00034969,             0.09685
                   4,             0.10709,            0.018788,                   0,           0.0020968,             0.36667,           0.0014333,          0.00028388,            0.080129,            0.014183,                   0,          0.00043931,          0.00043931,            0.096039
                   5,             0.10134,            0.019837,                   0,           0.0031458,             0.11667,           0.0017983,          0.00034335,            0.077028,            0.014458,                   0,          0.00052869,          0.00052869,            0.095229
                   6,            0.097375,            0.021227,                   0,            0.045187,            0.016667,           0.0032512,          0.00094145,            0.074041,            0.014735,                   0,           0.0006178,           0.0006178,            0.094418
                   7,            0.093862,            0.022621,                   0,            0.025036,            0.066667,           0.0076104,           0.0014847,            0.069476,             0.01516,                   0,          0.00070657,          0.00070657,            0.093607
                   8,             0.08969,             0.02216,                   0,            0.032974,                0.05,           0.0086509,           0.0017584,             0.06432,            0.015769,                   0,          0.00079496,          0.00079496,            0.092795
                   9,             0.08638,            0.023494,                   0,            0.034199,             0.11667,            0.019945,           0.0048726,            0.059188,            0.016129,                   0,          0.00088291,          0.00088291,            0.091983
