               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12542,            0.018024,                   0,           0.0088155,            0.055437,            0.002114,          0.00039344,             0.11453,            0.015628,                   0,             0.00038,             0.00038,             0.09658
                   1,               0.111,            0.022935,                   0,            0.050081,             0.10874,            0.013981,           0.0024329,            0.097487,            0.019657,                   0,          0.00076993,          0.00076993,             0.09307
                   2,             0.09687,            0.025637,                   0,               0.169,             0.24094,            0.085184,            0.016184,            0.083323,            0.021567,                   0,           0.0011596,           0.0011596,             0.08956
                   3,            0.085975,            0.028875,                   0,             0.36327,             0.27505,             0.20612,            0.045806,             0.07709,              0.0207,                   0,           0.0015488,           0.0015488,            0.086049
                   4,            0.077466,            0.026284,                   0,             0.35152,              0.3774,             0.26642,             0.05584,            0.065714,            0.018892,                   0,           0.0019373,           0.0019373,            0.082537
                   5,            0.072453,             0.02377,                   0,             0.42639,             0.46908,             0.36607,            0.093888,            0.063361,            0.017122,                   0,           0.0023249,           0.0023249,            0.079025
                   6,            0.069104,            0.023808,                   0,             0.44863,             0.36461,             0.33564,            0.081652,            0.066433,            0.015668,                   0,           0.0027114,           0.0027114,            0.075511
                   7,            0.066921,             0.02314,                   0,             0.56546,             0.49666,             0.51263,             0.15834,            0.061176,            0.015519,                   0,           0.0030967,           0.0030967,            0.071997
                   8,            0.065184,            0.021398,                   0,              0.5467,              0.5693,             0.53815,             0.16117,            0.059657,            0.015568,                   0,           0.0034804,           0.0034804,             0.06848
                   9,             0.06415,            0.022431,                   0,             0.59595,             0.57569,             0.59786,             0.19148,            0.058132,            0.014719,                   0,           0.0038624,           0.0038624,            0.064962
                  10,            0.063032,            0.022501,                   0,              0.7467,             0.57996,             0.66217,             0.22644,             0.05569,            0.014916,                   0,           0.0042426,           0.0042426,            0.061443
                  11,            0.061499,            0.020684,                   0,              0.6175,             0.56716,             0.58196,             0.17398,            0.057326,             0.01426,                   0,           0.0046206,           0.0046206,            0.057921
                  12,            0.059596,            0.020025,                   0,             0.50815,              0.5693,             0.50812,             0.15185,            0.059284,            0.014294,                   0,           0.0049964,           0.0049964,            0.054396
                  13,            0.065558,            0.020975,                   0,             0.58377,             0.58613,             0.56362,             0.18313,             0.05678,            0.014655,                   0,           0.0053697,           0.0053697,             0.05087
                  14,            0.062428,            0.020821,                   0,             0.69784,             0.64606,             0.68094,             0.23496,            0.054628,            0.014515,                   0,           0.0057403,           0.0057403,             0.04734
                  15,            0.062062,            0.020454,                   0,             0.68851,             0.64179,             0.64676,             0.20527,            0.055934,            0.014402,                   0,            0.006108,            0.006108,            0.043808
                  16,            0.059256,            0.019693,                   0,             0.63883,             0.62227,             0.62832,             0.20242,            0.055723,            0.013944,                   0,           0.0064727,           0.0064727,            0.040273
                  17,            0.059189,             0.02031,                   0,             0.60879,             0.57143,             0.57951,             0.18266,            0.058884,            0.013713,                   0,           0.0068341,           0.0068341,            0.036734
                  18,             0.05833,            0.020877,                   0,             0.64038,             0.59275,             0.62331,             0.19943,             0.05596,            0.014144,                   0,           0.0071921,           0.0071921,            0.033192
                  19,            0.057789,            0.019912,                   0,             0.67914,              0.6951,             0.69863,             0.23001,            0.054704,            0.013686,                   0,           0.0075465,           0.0075465,            0.029647
                  20,            0.058646,            0.020159,                   0,             0.73108,             0.57143,             0.65644,             0.22228,            0.054852,             0.01387,                   0,           0.0078971,           0.0078971,            0.026097
                  21,            0.057731,            0.020376,                   0,             0.79136,             0.56716,             0.67325,             0.22864,            0.054704,            0.013576,                   0,           0.0082437,           0.0082437,            0.022544
                  22,            0.059659,            0.020329,                   0,             0.70865,             0.58604,             0.64545,              0.1996,            0.055962,            0.013826,                   0,           0.0085862,           0.0085862,            0.018986
                  23,            0.058916,             0.01996,                   0,             0.61431,             0.65032,             0.59342,             0.18713,            0.057851,            0.013414,                   0,           0.0089244,           0.0089244,            0.015424
                  24,            0.056941,            0.021139,                   0,             0.75671,             0.62047,             0.69217,             0.24303,            0.053261,            0.013479,                   0,           0.0092581,           0.0092581,            0.011858
                  25,            0.056433,            0.019757,                   0,             0.64193,             0.52878,             0.55517,             0.16151,            0.058497,            0.014321,                   0,           0.0094641,           0.0094641,           0.0094641
                  26,            0.055011,            0.019813,                   0,              0.7248,               0.629,             0.69698,             0.25841,            0.053319,            0.013417,                   0,           0.0094641,           0.0094641,           0.0094641
                  27,              0.0529,            0.019789,                   0,             0.77055,             0.59488,             0.68416,             0.24007,            0.053073,            0.013738,                   0,           0.0094215,           0.0094215,           0.0094215
                  28,            0.053854,            0.020447,                   0,             0.64016,             0.61194,             0.64959,             0.22312,            0.056362,            0.013427,                   0,           0.0093773,           0.0093773,           0.0093773
                  29,            0.053089,            0.019407,                   0,             0.71896,             0.60547,             0.67619,             0.24312,            0.054052,            0.013699,                   0,           0.0093317,           0.0093317,           0.0093317
                  30,            0.054563,            0.019618,                   0,             0.62667,             0.63113,             0.64817,             0.22924,            0.054651,            0.014486,                   0,           0.0092846,           0.0092846,           0.0092846
                  31,            0.053503,            0.018935,                   0,             0.68026,             0.63961,              0.6622,             0.22695,            0.054954,            0.013357,                   0,           0.0092361,           0.0092361,           0.0092361
                  32,            0.053559,            0.019698,                   0,             0.71754,             0.63966,             0.68538,              0.2484,            0.053307,            0.013423,                   0,           0.0091861,           0.0091861,           0.0091861
                  33,            0.052216,            0.019508,                   0,             0.70285,             0.62687,             0.66095,             0.24498,            0.052581,            0.013417,                   0,           0.0091348,           0.0091348,           0.0091348
                  34,            0.052748,            0.019672,                   0,             0.64561,             0.59062,             0.63013,             0.20491,            0.056106,            0.012919,                   0,           0.0090821,           0.0090821,           0.0090821
                  35,            0.052622,            0.019252,                   0,             0.69355,             0.67556,             0.71426,             0.25791,            0.052705,            0.013314,                   0,            0.009028,            0.009028,            0.009028
                  36,            0.050962,            0.019221,                   0,             0.72373,             0.63677,             0.69985,             0.25308,            0.052442,            0.013331,                   0,           0.0089726,           0.0089726,           0.0089726
